dns21.org. 	127.0.0.1
mail.dns21.org. 	121.9.213.200
www.dns21.org. 	121.9.13.185
test.dns21.org. 	58.255.253.2
*.dns21.org. 	121.9.13.185
mpfan.com.dns21.org. 	58.255.250.66
mpfans.org.dns21.org. 	58.255.250.66
www.mpfan.com.dns21.org. 	58.255.250.66
bbs.mpfan.com.dns21.org. 	58.255.250.66
www.mpfans.org.dns21.org. 	58.255.250.66
bbs.mpfans.org.dns21.org. 	58.255.250.66
oa.xwx.cn.dns21.org. 	58.255.253.212
www.338av.com.dns21.org. 	58.255.253.211
music.338av.com.dns21.org. 	58.255.253.211
mail.338av.com.dns21.org. 	58.255.253.211
www.yink.net.cn.dns21.org. 	58.255.253.211
www.suooo.com.dns21.org. 	58.255.253.211
bbs.suooo.com.dns21.org. 	58.255.253.211
job.suooo.com.dns21.org. 	58.255.253.211
xwx.suooo.com.dns21.org. 	58.255.253.211
book.suooo.com.dns21.org. 	58.255.253.211
spreader.suooo.com.dns21.org. 	58.255.253.211
img.baicai.com.dns21.org. 	58.255.253.110
mail.jobdns.cn.dns21.org. 	58.255.253.109
tcn.jobui.com.dns21.org. 	58.255.253.98
cname.baicai.com.dns21.org. 	119.38.128.66
tcn.baicai.com.dns21.org. 	58.255.253.98
lianbo.baicai.com.dns21.org. 	58.255.253.105
www.xjfashion.cn.dns21.org. 	58.255.250.100
jeansboy.cn.dns21.org. 	58.255.250.100
www.jeansboy.cn.dns21.org. 	58.255.250.100
shop.jeansboy.cn.dns21.org. 	58.255.250.100
bbs.jeansboy.cn.dns21.org. 	58.255.250.100
cname.jeansboy.cn.dns21.org. 	58.255.250.100
wanguangming.com.dns21.org. 	58.255.253.119
cnhkidc.com.dns21.org. 	119.38.129.10
dxcms.com.dns21.org. 	119.38.129.50
vvwood.com.dns21.org. 	163.177.178.76
yyge.com.dns21.org. 	58.255.251.36
yyge.com.dns21.org. 	58.255.251.37
ceo.yyge.com.dns21.org. 	58.253.71.108
testgoo.com.dns21.org. 	119.38.129.52
580k.com.dns21.org. 	119.38.130.66
580k.cn.dns21.org. 	119.38.130.67
www.580k.cn.dns21.org. 	202.104.149.239
gzmama.com.dns21.org. 	119.38.129.60
likeface.com.dns21.org. 	119.38.130.72
subaye.com.dns21.org. 	58.255.249.55
mystaru.com.dns21.org. 	58.255.249.51
stareastnet.com.dns21.org. 	58.255.251.18
aixi.net.dns21.org. 	58.255.251.19
blogolb.com.dns21.org. 	58.255.249.50
www1.barcool.com.dns21.org. 	119.145.138.57
www2.barcool.com.dns21.org. 	119.38.129.62
bak.uinicall.com.dns21.org. 	58.255.251.58
mail.uinicall.com.dns21.org. 	58.255.251.59
www.uinicall.com.dns21.org. 	58.255.251.60
bendss.com.dns21.org. 	119.38.129.13
wan1ba1.dns21.org. 	58.255.251.82
wan1ba2.dns21.org. 	58.255.251.83
wan1ba3.dns21.org. 	58.255.251.84
wan1ba4.dns21.org. 	58.255.251.85
wan1ba5.dns21.org. 	58.255.251.86
wan1ba6.dns21.org. 	58.255.251.87
wan1ba7.dns21.org. 	58.255.251.88
98ye.dns21.org. 	58.255.251.98
99ye.dns21.org. 	58.255.251.99
100ye.dns21.org. 	58.255.251.100
101ye.dns21.org. 	58.255.251.101
102ye.dns21.org. 	58.255.251.102
103ye.dns21.org. 	58.255.253.83
104ye.dns21.org. 	58.255.251.104
105ye.dns21.org. 	58.255.251.105
106ye.dns21.org. 	58.255.251.106
107ye.dns21.org. 	58.255.251.107
108ye.dns21.org. 	58.255.251.108
109ye.dns21.org. 	58.255.251.109
110ye.dns21.org. 	58.255.251.110
111ye.dns21.org. 	58.255.251.111
112ye.dns21.org. 	58.255.251.103
113ye.dns21.org. 	58.255.253.82
fshome.dns21.org. 	120.31.61.146
gtplay2.dns21.org. 	58.255.251.162
gtplay6.dns21.org. 	58.255.251.227
gtplay7.dns21.org. 	58.255.251.228
go2game1.dns21.org. 	58.255.251.174
go2game2.dns21.org. 	58.255.251.175
go2game3.dns21.org. 	58.255.251.176
go2game4.dns21.org. 	58.255.251.177
go2game5.dns21.org. 	58.255.251.178
go2game6.dns21.org. 	58.255.251.179
go2game7.dns21.org. 	58.255.251.180
go2game8.dns21.org. 	58.255.251.181
go2game9.dns21.org. 	58.255.251.182
go2game10.dns21.org. 	58.255.251.183
go2game11.dns21.org.    58.255.251.184
go2game12.dns21.org.    58.255.251.185
go2game13.dns21.org. 	58.255.251.186
go2game14.dns21.org. 	58.255.251.187
go2game15.dns21.org. 	58.255.251.188
go2game16.dns21.org. 	58.255.251.189
365webg.dns21.org. 	58.255.251.171
365webg1.dns21.org. 	58.255.251.172
365webg2.dns21.org. 	58.255.251.173
mepop.dns21.org. 	58.255.251.136
mepop1.dns21.org. 	58.255.251.137
d7.dns21.org. 	58.255.251.134
d71.dns21.org. 	58.255.251.135
175pt1.dns21.org. 	120.31.61.226
175pt2.dns21.org. 	120.31.61.227
175pt3.dns21.org. 	120.31.61.228
175pt4.dns21.org. 	120.31.61.229
175pt5.dns21.org. 	120.31.61.230
175pt6.dns21.org. 	120.31.61.231
175pt7.dns21.org. 	120.31.61.232
175pt8.dns21.org. 	120.31.61.233
175pt9.dns21.org. 	120.31.61.234
175pt10.dns21.org. 	120.31.61.235
175pt11.dns21.org. 	120.31.61.236
175pt12.dns21.org. 	120.31.61.237
175pt13.dns21.org. 	120.31.61.238
175pt14.dns21.org. 	120.31.61.194
175pt15.dns21.org. 	120.31.61.195
175pt16.dns21.org. 	120.31.61.196
175pt17.dns21.org. 	120.31.61.197
175pt18.dns21.org. 	120.31.61.198
175pt19.dns21.org. 	120.31.61.199
175pt20.dns21.org. 	120.31.61.200
175pt21.dns21.org. 	120.31.61.201
175pt22.dns21.org. 	120.31.61.202
175pt23.dns21.org. 	120.31.61.203
175pt24.dns21.org. 	120.31.61.204
175pt25.dns21.org. 	120.31.61.205
175pt26.dns21.org. 	120.31.61.206
175pt27.dns21.org. 	120.31.61.207
175pt28.dns21.org. 	120.31.61.211
175pt29.dns21.org. 	120.31.61.212
175pt30.dns21.org. 	120.31.61.213
175pt31.dns21.org. 	120.31.61.214
175pt32.dns21.org. 	120.31.61.215
175pt33.dns21.org. 	120.31.61.216
175pt34.dns21.org. 	120.31.61.217
175pt35.dns21.org. 	120.31.61.218
175pt36.dns21.org. 	120.31.61.219
175pt37.dns21.org. 	120.31.61.220
175pt38.dns21.org. 	120.31.61.221
175pt39.dns21.org. 	120.31.61.222
d72.dns21.org. 	58.255.251.229
livall.dns21.org. 	58.255.251.230
175pt40.dns21.org. 	123.129.234.52
175pt41.dns21.org. 	120.31.61.216
175pt42.dns21.org. 	119.38.129.162
175pt43.dns21.org. 	119.38.129.163
175pt44.dns21.org. 	119.38.129.164
yunyu.dns21.org. 	58.255.251.231
dadeedu.dns21.org. 	163.177.177.86
www1.baobaomm.com.dns21.org. 	58.255.251.242
img1.baobaomm.com.dns21.org. 	58.255.251.243
shop1.baobaomm.com.dns21.org. 	58.255.251.242
shfengge.dns21.org. 	120.31.61.163
shfenggedb.dns21.org. 	58.255.251.245
download1.spid.net.cn.dns21.org. 	58.255.251.53
mepop2.dns21.org. 	119.38.129.136
mepop3.dns21.org. 	119.38.129.137
mepop4.dns21.org. 	119.38.129.138
mepop5.dns21.org. 	119.38.129.139
gtplay8.dns21.org. 	58.255.251.135
175pt45.dns21.org. 	123.129.234.52
sunlei.dns21.org. 	58.255.251.236
sunlei1.dns21.org. 	58.255.251.237
sunlei2.dns21.org. 	58.255.251.238
sunlei3.dns21.org. 	58.255.251.239
onwind1.dns21.org. 	112.90.50.10
onwind2.dns21.org. 	112.90.50.5
onwind3.dns21.org. 	112.90.50.6
onwind4.dns21.org. 	112.90.50.7
onwind6.dns21.org. 	112.90.50.8
onwind7.dns21.org. 	112.90.50.2
onwind8.dns21.org. 	112.90.50.3
onwind9.dns21.org. 	112.90.50.4
onwind10.dns21.org. 	112.90.50.9
guangxin.dns21.org. 	119.38.128.180
xbwl.dns21.org. 	119.38.128.162
xbwl1.dns21.org. 	119.38.128.163
xbwl2.dns21.org. 	119.38.128.164
xbwl3.dns21.org. 	119.38.128.165
xbwl4.dns21.org. 	119.38.128.166
xbwl5.dns21.org. 	119.38.128.167
xbwl6.dns21.org. 	119.38.128.168
xbwl8.dns21.org. 	119.38.128.170
xbwl9.dns21.org. 	119.38.128.171
xbwl10.dns21.org. 	119.38.128.172
xbwl11.dns21.org. 	119.38.128.173
xbwl12.dns21.org. 	119.38.128.174
xbwl13.dns21.org. 	119.38.128.175
xbwl14.dns21.org. 	119.38.128.176
de44.com.dns21.org. 	58.255.251.165
de441.com.dns21.org. 	58.255.251.166
r1.56wan.com.dns21.org. 	58.255.250.74
r4.56wan.com.dns21.org. 	58.255.250.76
r3.56wan.com.dns21.org. 	58.255.250.75
r8.56wan.com.dns21.org. 	58.255.250.77
shiye.dns21.org. 	120.31.56.124
yunhi.dns21.org. 	58.255.251.253
d73.dns21.org. 	58.255.251.133
gaga.subaye.com.dns21.org. 	58.255.251.18
175ptd1.dns21.org. 	112.90.177.82
175ptd2.dns21.org. 	112.90.177.72
175ptd3.dns21.org. 	112.90.177.81
175ptd4.dns21.org. 	112.90.177.68
175ptd5.dns21.org. 	112.90.177.70
175ptd6.dns21.org. 	112.90.177.69
175ptd7.dns21.org. 	112.90.177.71
175ptd.dns21.org. 	112.90.177.66
kqn.dns21.org. 	58.255.250.80
kqn2.dns21.org. 	58.255.50.81
wdfs.de44.com.dns21.org. 	58.255.251.165
mama1.dns21.org. 	163.177.177.76
xbwl16.dns21.org. 	119.38.128.178
xbwl29.dns21.org. 	58.255.251.46
sina1.likong.org.dns21.org. 	112.90.177.8
sina2.likong.org.dns21.org. 	112.90.177.9
www.xiaohei.com.dns21.org. 	58.255.251.165
gzmama3.dns21.org. 	163.177.177.73
gzmama4.dns21.org. 	163.177.177.74
xiaohei1.dns21.org. 	58.255.250.102
sbd194.dns21.org. 	58.255.251.50
tg.xiaohei.com.dns21.org. 	58.255.251.24
gzmama5.dns21.org. 	163.177.177.72
ftp1.zotac.com.dns21.org. 	112.90.177.106
